Frequency (Hz)	Level (dB)
15.625000	-72.704247
31.250000	-69.454407
46.875000	-67.153564
62.500000	-65.195984
78.125000	-65.736549
93.750000	-65.408669
109.375000	-63.102673
125.000000	-61.801842
140.625000	-61.882393
156.250000	-60.587067
171.875000	-58.647469
187.500000	-55.482292
203.125000	-51.320583
218.750000	-47.910656
234.375000	-48.264889
250.000000	-51.580345
265.625000	-55.144394
281.250000	-57.462811
296.875000	-58.838139
312.500000	-59.429035
328.125000	-59.479637
343.750000	-59.448154
359.375000	-59.060982
375.000000	-57.953438
390.625000	-56.312176
406.250000	-54.165565
421.875000	-50.636215
437.500000	-46.511299
453.125000	-45.853489
468.750000	-48.680378
484.375000	-52.554142
500.000000	-54.892117
515.625000	-56.648048
531.250000	-57.539986
546.875000	-57.806557
562.500000	-57.798370
578.125000	-57.569412
593.750000	-56.853230
609.375000	-55.730453
625.000000	-53.921124
640.625000	-50.588753
656.250000	-46.530499
671.875000	-44.125740
687.500000	-45.637920
703.125000	-49.465038
718.750000	-52.730633
734.375000	-54.746140
750.000000	-55.923111
765.625000	-56.445438
781.250000	-56.727871
796.875000	-56.370388
812.500000	-55.606289
828.125000	-54.600849
843.750000	-52.853657
859.375000	-49.823456
875.000000	-45.429504
890.625000	-42.387688
906.250000	-43.462238
921.875000	-47.648758
937.500000	-50.977356
953.125000	-52.904354
968.750000	-54.044861
984.375000	-55.084015
1000.000000	-55.338245
1015.625000	-54.953342
1031.250000	-54.536884
1046.875000	-53.428055
1062.500000	-51.768406
1078.125000	-49.113800
1093.750000	-44.445282
1109.375000	-40.366505
1125.000000	-40.043339
1140.625000	-43.973724
1156.250000	-48.586407
1171.875000	-51.299450
1187.500000	-53.050117
1203.125000	-54.130814
1218.750000	-54.523956
1234.375000	-54.326092
1250.000000	-53.576603
1265.625000	-52.657227
1281.250000	-51.220482
1296.875000	-49.148441
1312.500000	-45.462856
1328.125000	-40.993092
1343.750000	-39.355270
1359.375000	-41.959232
1375.000000	-46.293205
1390.625000	-49.223747
1406.250000	-50.770519
1421.875000	-51.877831
1437.500000	-52.412010
1453.125000	-52.537834
1468.750000	-52.208008
1484.375000	-51.321266
1500.000000	-49.765335
1515.625000	-47.740177
1531.250000	-44.435429
1546.875000	-39.987610
1562.500000	-37.412277
1578.125000	-39.093208
1593.750000	-43.189789
1609.375000	-46.543953
1625.000000	-48.616207
1640.625000	-49.770519
1656.250000	-50.350510
1671.875000	-50.689190
1687.500000	-50.284561
1703.125000	-49.598991
1718.750000	-48.571987
1734.375000	-46.466896
1750.000000	-43.216343
1765.625000	-38.968388
1781.250000	-35.734943
1796.875000	-36.434055
1812.500000	-40.264019
1828.125000	-43.837448
1843.750000	-45.944012
1859.375000	-47.279705
1875.000000	-48.222496
1890.625000	-48.403542
1906.250000	-47.988884
1921.875000	-47.590549
1937.500000	-46.430702
1953.125000	-44.725590
1968.750000	-42.047112
1984.375000	-37.973827
2000.000000	-34.213799
2015.625000	-33.780697
2031.250000	-37.169159
2046.875000	-40.774235
2062.500000	-43.169598
2078.125000	-44.605545
2093.750000	-45.238064
2109.375000	-45.461475
2125.000000	-45.746677
2140.625000	-45.337696
2156.250000	-44.265652
2171.875000	-42.731247
2187.500000	-40.503635
2203.125000	-36.500965
2218.750000	-32.053921
2234.375000	-30.897373
2250.000000	-33.756981
2265.625000	-37.468342
2281.250000	-39.783237
2296.875000	-41.513672
2312.500000	-42.840015
2328.125000	-43.316082
2343.750000	-43.413013
2359.375000	-42.881912
2375.000000	-42.020210
2390.625000	-40.672237
2406.250000	-38.252697
2421.875000	-35.155144
2437.500000	-31.462336
2453.125000	-29.182703
2468.750000	-30.591919
2484.375000	-34.169750
2500.000000	-36.875492
2515.625000	-39.092659
2531.250000	-40.125565
2546.875000	-40.693741
2562.500000	-40.567261
2578.125000	-40.256176
2593.750000	-39.585651
2609.375000	-38.502388
