Frequency (Hz)	Level (dB)
15.625000	-72.350067
31.250000	-68.939354
46.875000	-66.200951
62.500000	-64.480011
78.125000	-65.887558
93.750000	-66.942368
109.375000	-67.426575
125.000000	-67.868073
140.625000	-68.393143
156.250000	-68.841057
171.875000	-68.889771
187.500000	-69.192070
203.125000	-69.490021
218.750000	-69.738113
234.375000	-69.759506
250.000000	-69.827438
265.625000	-69.965614
281.250000	-70.345001
296.875000	-70.517479
312.500000	-70.409859
328.125000	-70.267319
343.750000	-70.419029
359.375000	-70.392303
375.000000	-70.177185
390.625000	-70.161568
406.250000	-70.243805
421.875000	-70.391266
437.500000	-69.939163
453.125000	-69.510468
468.750000	-69.158409
484.375000	-68.856010
500.000000	-68.490501
515.625000	-68.441444
531.250000	-67.941475
546.875000	-67.215782
562.500000	-66.693237
578.125000	-66.281471
593.750000	-65.889168
609.375000	-65.489151
625.000000	-65.015228
640.625000	-64.099525
656.250000	-63.095570
671.875000	-61.932091
687.500000	-60.681911
703.125000	-59.246174
718.750000	-57.996902
734.375000	-56.260223
750.000000	-54.283646
765.625000	-51.908485
781.250000	-50.342300
796.875000	-49.460640
812.500000	-49.873238
828.125000	-51.445686
843.750000	-53.197609
859.375000	-54.976536
875.000000	-56.557026
890.625000	-57.822021
906.250000	-58.668869
921.875000	-59.581287
937.500000	-60.315670
953.125000	-61.001114
968.750000	-61.480732
984.375000	-62.245274
1000.000000	-62.626339
1015.625000	-62.699982
1031.250000	-63.136234
1046.875000	-63.303089
1062.500000	-63.532455
1078.125000	-63.716511
1093.750000	-63.481380
1109.375000	-63.378330
1125.000000	-63.338276
1140.625000	-63.411263
1156.250000	-63.782963
1171.875000	-63.820534
1187.500000	-64.035446
1203.125000	-64.104065
1218.750000	-63.945644
1234.375000	-63.567341
1250.000000	-63.001179
1265.625000	-62.634766
1281.250000	-62.318619
1296.875000	-62.092457
1312.500000	-61.497623
1328.125000	-60.928547
1343.750000	-60.310265
1359.375000	-59.708633
1375.000000	-58.974461
1390.625000	-57.967632
1406.250000	-56.861324
1421.875000	-55.886795
1437.500000	-54.654865
1453.125000	-53.358555
1468.750000	-51.897675
1484.375000	-50.334793
1500.000000	-48.920185
1515.625000	-48.311615
1531.250000	-47.770481
1546.875000	-47.575027
1562.500000	-47.735123
1578.125000	-48.249825
1593.750000	-49.067249
1609.375000	-50.378704
1625.000000	-51.765903
1640.625000	-53.020500
1656.250000	-54.019939
1671.875000	-55.099274
1687.500000	-55.856468
1703.125000	-56.593410
1718.750000	-57.388580
1734.375000	-57.754356
1750.000000	-57.964405
1765.625000	-58.309635
1781.250000	-58.864742
1796.875000	-58.713013
1812.500000	-58.690540
1828.125000	-58.800419
1843.750000	-58.867138
1859.375000	-58.969852
1875.000000	-59.188705
1890.625000	-59.065292
1906.250000	-58.736790
1921.875000	-58.808636
1937.500000	-58.616577
1953.125000	-58.390133
1968.750000	-58.208950
1984.375000	-57.821846
