Frequency (Hz)	Level (dB)
15.625000	-73.472664
31.250000	-70.219139
46.875000	-67.925735
62.500000	-66.192505
78.125000	-67.367531
93.750000	-67.504730
109.375000	-66.363129
125.000000	-65.803696
140.625000	-66.376640
156.250000	-65.985916
171.875000	-65.367401
187.500000	-64.409813
203.125000	-63.157593
218.750000	-61.465115
234.375000	-59.332310
250.000000	-56.705566
265.625000	-53.330261
281.250000	-49.737438
296.875000	-49.080563
312.500000	-51.736324
328.125000	-54.933945
343.750000	-57.699512
359.375000	-59.596638
375.000000	-60.699379
390.625000	-61.461277
406.250000	-62.180428
421.875000	-62.659542
437.500000	-62.465824
453.125000	-62.116310
468.750000	-61.430759
484.375000	-60.784882
500.000000	-59.702572
515.625000	-58.537041
531.250000	-56.379368
546.875000	-53.262241
562.500000	-49.446716
578.125000	-46.967319
593.750000	-47.929642
609.375000	-51.303810
625.000000	-54.685238
640.625000	-56.823273
656.250000	-58.263222
671.875000	-59.189930
687.500000	-59.824806
703.125000	-60.309753
718.750000	-60.591099
734.375000	-60.493683
750.000000	-60.259445
765.625000	-59.700111
781.250000	-59.039524
796.875000	-57.734760
812.500000	-56.106384
828.125000	-54.090488
843.750000	-50.833004
859.375000	-47.276733
875.000000	-45.315994
890.625000	-46.621899
906.250000	-49.717842
921.875000	-52.749809
937.500000	-54.971642
953.125000	-56.425945
968.750000	-57.311501
984.375000	-58.291061
1000.000000	-58.681374
1015.625000	-58.625660
1031.250000	-58.603168
1046.875000	-58.112064
1062.500000	-57.643188
1078.125000	-56.703449
1093.750000	-54.924694
1109.375000	-52.959042
1125.000000	-50.230415
1140.625000	-46.936703
1156.250000	-44.122921
1171.875000	-44.095200
1187.500000	-47.221710
1203.125000	-50.852997
1218.750000	-53.185249
1234.375000	-54.694710
1250.000000	-55.689846
1265.625000	-56.394661
1281.250000	-56.917690
1296.875000	-57.521107
1312.500000	-57.546139
1328.125000	-57.180622
1343.750000	-56.755592
1359.375000	-55.989204
1375.000000	-55.031521
1390.625000	-53.368607
1406.250000	-50.945480
1421.875000	-48.106075
1437.500000	-44.180664
1453.125000	-41.533081
1468.750000	-42.345364
1484.375000	-45.875767
1500.000000	-49.022331
1515.625000	-51.429295
1531.250000	-53.055843
1546.875000	-54.097317
1562.500000	-54.847946
1578.125000	-55.202847
1593.750000	-55.346008
1609.375000	-55.311543
1625.000000	-54.978771
1640.625000	-54.281319
1656.250000	-53.516819
1671.875000	-52.325096
1687.500000	-50.468571
1703.125000	-48.351707
1718.750000	-45.262009
1734.375000	-41.411537
1750.000000	-39.494537
1765.625000	-41.133045
1781.250000	-44.949360
1796.875000	-47.758007
1812.500000	-49.597019
1828.125000	-50.961681
1843.750000	-51.894188
1859.375000	-52.663464
1875.000000	-53.233337
1890.625000	-53.040207
1906.250000	-52.672890
1921.875000	-52.386082
1937.500000	-51.742832
1953.125000	-50.673939
1968.750000	-49.311733
1984.375000	-47.254898
2000.000000	-44.645916
2015.625000	-41.063869
2031.250000	-37.662746
2046.875000	-37.311668
2062.500000	-40.208076
2078.125000	-43.678898
2093.750000	-45.908657
2109.375000	-47.403481
2125.000000	-48.874184
2140.625000	-49.797615
2156.250000	-50.238522
2171.875000	-50.475742
2187.500000	-50.609768
2203.125000	-49.906597
2218.750000	-48.991402
2234.375000	-48.451221
2250.000000	-47.653172
2265.625000	-45.640980
2281.250000	-43.175125
2296.875000	-40.230137
2312.500000	-36.779449
2328.125000	-34.611248
2343.750000	-36.000813
2359.375000	-39.510017
2375.000000	-42.380306
2390.625000	-44.469662
2406.250000	-45.606697
2421.875000	-46.539028
2437.500000	-47.332798
2453.125000	-47.623642
2468.750000	-47.629215
2484.375000	-47.410027
2500.000000	-46.952141
2515.625000	-46.562981
2531.250000	-45.495098
2546.875000	-44.106571
2562.500000	-42.218655
2578.125000	-39.793640
2593.750000	-36.465366
2609.375000	-33.352818
2625.000000	-32.372063
2640.625000	-34.558704
2656.250000	-37.903870
2671.875000	-40.351688
2687.500000	-42.122864
2703.125000	-43.335182
2718.750000	-44.070530
2734.375000	-44.864414
2750.000000	-45.064556
2765.625000	-45.085865
2781.250000	-44.816544
2796.875000	-44.449280
2812.500000	-43.545837
2828.125000	-42.407280
2843.750000	-41.232632
2859.375000	-39.409042
2875.000000	-36.677059
2890.625000	-33.211540
2906.250000	-30.510111
2921.875000	-30.766151
2937.500000	-33.515369
2953.125000	-36.443317
2968.750000	-38.968796
2984.375000	-40.709877
3000.000000	-41.575626
3015.625000	-42.171631
3031.250000	-42.811367
3046.875000	-42.842373
3062.500000	-42.848629
3078.125000	-42.669159
3093.750000	-42.235958
3109.375000	-41.349766
3125.000000	-40.395859
3140.625000	-38.492668
3156.250000	-36.496090
3171.875000	-33.980923
3187.500000	-31.128138
3203.125000	-29.572479
3218.750000	-30.700642
3234.375000	-33.494045
3250.000000	-36.111309
3265.625000	-38.240902
3281.250000	-39.837067
3296.875000	-40.745407
3312.500000	-41.362427
3328.125000	-42.019928
3343.750000	-42.178963
3359.375000	-42.144402
3375.000000	-41.883579
3390.625000	-41.499687
3406.250000	-40.621635
3421.875000	-39.594707
3437.500000	-38.111813
3453.125000	-35.785610
3468.750000	-33.155037
3484.375000	-30.503202
3500.000000	-29.504982
3515.625000	-31.220591
3531.250000	-34.410767
3546.875000	-37.225857
3562.500000	-38.978085
3578.125000	-40.352253
3593.750000	-41.320869
3609.375000	-41.816422
3625.000000	-42.291611
3640.625000	-42.810730
3656.250000	-42.653042
3671.875000	-42.277790
3687.500000	-41.511654
3703.125000	-40.721989
3718.750000	-39.642334
3734.375000	-38.044621
3750.000000	-35.847561
3765.625000	-32.899445
3781.250000	-30.836348
3796.875000	-31.179811
3812.500000	-33.524010
3828.125000	-36.269024
3843.750000	-38.493687
3859.375000	-40.368313
3875.000000	-41.634968
3890.625000	-42.638527
3906.250000	-43.346016
3921.875000	-43.364037
3937.500000	-43.205212
3953.125000	-43.349510
3968.750000	-43.055901
3984.375000	-42.385151
4000.000000	-41.271729
4015.625000	-39.566647
4031.250000	-37.670593
4046.875000	-35.036766
4062.500000	-32.391335
4078.125000	-31.268055
4093.750000	-32.766727
4109.375000	-35.512611
4125.000000	-38.604889
4140.625000	-40.749634
4156.250000	-41.994160
4171.875000	-43.029026
4187.500000	-43.753441
4203.125000	-43.886482
4218.750000	-43.992886
4234.375000	-43.877930
4250.000000	-43.820087
4265.625000	-43.663830
4281.250000	-42.744656
4296.875000	-41.213505
4312.500000	-39.499447
4328.125000	-37.276772
4343.750000	-34.388969
4359.375000	-32.453606
4375.000000	-32.714764
4390.625000	-34.737206
4406.250000	-37.699532
4421.875000	-39.853294
4437.500000	-41.529900
4453.125000	-42.747005
4468.750000	-43.558693
4484.375000	-44.434521
4500.000000	-44.658733
4515.625000	-44.653088
4531.250000	-44.550179
4546.875000	-44.057472
4562.500000	-43.151745
4578.125000	-42.120094
4593.750000	-40.696033
4609.375000	-38.637985
4625.000000	-36.427052
4640.625000	-33.948040
4656.250000	-32.955780
4671.875000	-34.198784
4687.500000	-36.819031
4703.125000	-39.257637
4718.750000	-41.326271
4734.375000	-42.591904
4750.000000	-43.532364
4765.625000	-44.356861
4781.250000	-44.415714
4796.875000	-44.836674
4812.500000	-44.674725
4828.125000	-44.012577
4843.750000	-43.327904
4859.375000	-42.527924
4875.000000	-41.231697
4890.625000	-39.552937
4906.250000	-37.742298
4921.875000	-35.284191
4937.500000	-33.250370
4953.125000	-33.320305
4968.750000	-35.129688
4984.375000	-37.853054
5000.000000	-39.743824
5015.625000	-41.152889
5031.250000	-42.385662
5046.875000	-43.328812
5062.500000	-43.843319
5078.125000	-44.048046
5093.750000	-43.981731
5109.375000	-43.609337
5125.000000	-43.170418
5140.625000	-42.297142
5156.250000	-41.339558
5171.875000	-39.815773
5187.500000	-37.823826
5203.125000	-35.695511
5218.750000	-33.747787
5234.375000	-33.129261
5250.000000	-34.476532
5265.625000	-36.237312
5281.250000	-38.260307
5296.875000	-40.042057
5312.500000	-41.118351
5328.125000	-41.794640
5343.750000	-42.328362
5359.375000	-42.608273
5375.000000	-42.848759
5390.625000	-42.775776
5406.250000	-42.023167
5421.875000	-41.457417
5437.500000	-40.501438
5453.125000	-39.060459
5468.750000	-37.751720
5484.375000	-35.854507
5500.000000	-34.121414
5515.625000	-33.119186
5531.250000	-33.580570
5546.875000	-35.231026
5562.500000	-36.944019
5578.125000	-38.216225
5593.750000	-39.165405
5609.375000	-39.924343
5625.000000	-40.377102
5640.625000	-40.872852
5656.250000	-40.915936
5671.875000	-40.774281
5687.500000	-40.310242
5703.125000	-39.650192
5718.750000	-38.710491
5734.375000	-37.577190
5750.000000	-36.495411
5765.625000	-35.185982
5781.250000	-33.795307
5796.875000	-33.048420
5812.500000	-33.331387
5828.125000	-34.404224
5843.750000	-35.610641
5859.375000	-36.367325
5875.000000	-37.209915
5890.625000	-38.050884
5906.250000	-38.157299
5921.875000	-38.292969
5937.500000	-38.519112
5953.125000	-38.261536
5968.750000	-38.012623
5984.375000	-37.523487
6000.000000	-36.830559
6015.625000	-35.944000
6031.250000	-35.505466
6046.875000	-34.903893
6062.500000	-34.429821
6078.125000	-34.543877
6093.750000	-34.499821
6109.375000	-34.680611
6125.000000	-35.305992
6140.625000	-35.866505
6156.250000	-36.159607
6171.875000	-36.410137
6187.500000	-36.626282
6203.125000	-36.647106
6218.750000	-36.929939
6234.375000	-36.911976
6250.000000	-36.975487
6265.625000	-37.383495
6281.250000	-37.615372
6296.875000	-37.785023
6312.500000	-38.275562
6328.125000	-38.586857
6343.750000	-38.658844
6359.375000	-38.680336
6375.000000	-38.613712
6390.625000	-38.597351
6406.250000	-38.215214
6421.875000	-37.947239
6437.500000	-37.578651
6453.125000	-37.336647
6468.750000	-37.338692
6484.375000	-37.847572
6500.000000	-38.687878
6515.625000	-39.790306
6531.250000	-41.171391
6546.875000	-42.400940
6562.500000	-43.123173
6578.125000	-44.008606
6593.750000	-44.738880
