Frequency (Hz)	Level (dB)
15.625000	-75.178070
31.250000	-71.760719
46.875000	-69.287506
62.500000	-67.593506
78.125000	-67.351189
93.750000	-65.157364
109.375000	-57.335197
125.000000	-54.203739
140.625000	-52.963295
156.250000	-53.669743
171.875000	-58.693962
187.500000	-62.047520
203.125000	-63.098545
218.750000	-62.882229
234.375000	-62.023552
250.000000	-59.614647
265.625000	-55.273190
281.250000	-51.529037
296.875000	-52.484856
312.500000	-56.776234
328.125000	-59.489204
343.750000	-61.121563
359.375000	-61.553940
375.000000	-60.624771
390.625000	-58.402378
406.250000	-54.103050
421.875000	-50.032398
437.500000	-50.488174
453.125000	-54.880516
468.750000	-58.137894
484.375000	-59.946548
500.000000	-60.257465
515.625000	-59.654301
531.250000	-57.266895
546.875000	-52.368656
562.500000	-48.221279
578.125000	-48.658684
593.750000	-53.373749
609.375000	-57.463493
625.000000	-59.406303
640.625000	-59.716766
656.250000	-58.961853
671.875000	-56.568165
687.500000	-51.718269
703.125000	-46.306309
718.750000	-46.501762
734.375000	-51.941490
750.000000	-56.181366
765.625000	-58.018021
781.250000	-58.625103
796.875000	-57.691631
812.500000	-55.388355
828.125000	-51.331726
843.750000	-45.811275
859.375000	-45.465946
875.000000	-50.698101
890.625000	-55.304428
906.250000	-56.844517
921.875000	-57.207649
937.500000	-56.580135
953.125000	-54.382965
968.750000	-49.567711
984.375000	-43.713642
1000.000000	-43.263409
1015.625000	-48.579746
1031.250000	-53.563805
1046.875000	-55.454472
1062.500000	-56.201645
1078.125000	-55.469994
1093.750000	-52.890179
1109.375000	-48.409786
1125.000000	-43.025974
1140.625000	-42.403820
1156.250000	-47.484474
1171.875000	-52.701859
1187.500000	-54.774086
1203.125000	-55.471352
1218.750000	-54.689045
1234.375000	-52.336552
1250.000000	-47.656719
1265.625000	-41.418293
1281.250000	-40.744102
1296.875000	-46.198311
1312.500000	-51.319134
1328.125000	-53.132347
1343.750000	-53.748039
1359.375000	-53.069843
1375.000000	-51.106976
1390.625000	-46.147697
1406.250000	-39.517174
1421.875000	-38.472298
1437.500000	-43.924206
1453.125000	-49.147240
1468.750000	-51.244461
1484.375000	-51.730045
1500.000000	-50.814716
1515.625000	-48.738529
1531.250000	-44.134583
1546.875000	-38.014526
1562.500000	-37.223984
1578.125000	-42.079269
1593.750000	-46.774048
1609.375000	-48.950478
1625.000000	-49.440716
1640.625000	-48.644505
1656.250000	-46.658199
1671.875000	-41.884422
1687.500000	-35.460571
1703.125000	-34.347805
1718.750000	-39.675106
1734.375000	-44.758026
1750.000000	-46.614075
1765.625000	-46.995270
1781.250000	-46.384911
1796.875000	-43.840797
1812.500000	-39.286926
1828.125000	-33.222118
1843.750000	-32.188141
1859.375000	-36.978947
1875.000000	-41.919052
1890.625000	-43.671680
1906.250000	-43.893459
1921.875000	-43.307911
1937.500000	-41.221909
1953.125000	-36.613014
1968.750000	-31.248968
1984.375000	-30.521212
2000.000000	-34.861210
2015.625000	-39.181934
2031.250000	-41.064037
2046.875000	-41.405067
2062.500000	-40.590454
2078.125000	-38.506996
2093.750000	-34.068821
2109.375000	-29.700455
2125.000000	-29.156340
2140.625000	-32.794048
2156.250000	-36.645500
2171.875000	-38.535088
2187.500000	-39.168602
2203.125000	-38.098232
2218.750000	-35.927498
2234.375000	-32.963486
2250.000000	-29.509224
2265.625000	-28.356215
2281.250000	-30.754438
2296.875000	-34.146793
2312.500000	-36.413952
2328.125000	-37.048943
2343.750000	-36.743801
2359.375000	-35.355968
2375.000000	-32.759026
2390.625000	-29.238846
2406.250000	-27.661127
2421.875000	-29.477264
2437.500000	-32.944851
2453.125000	-35.305855
2468.750000	-36.223675
2484.375000	-36.216408
2500.000000	-35.218319
2515.625000	-33.224472
2531.250000	-29.820066
2546.875000	-27.606489
2562.500000	-28.701307
2578.125000	-32.177895
2593.750000	-34.975822
2609.375000	-36.577961
2625.000000	-36.772068
2640.625000	-36.030132
2656.250000	-33.895111
2671.875000	-30.232368
2687.500000	-27.730207
2703.125000	-28.752214
2718.750000	-32.464439
2734.375000	-35.684982
2750.000000	-37.204449
2765.625000	-37.534424
2781.250000	-36.719524
2796.875000	-34.671692
2812.500000	-30.650284
2828.125000	-27.848192
2843.750000	-29.000208
2859.375000	-33.051426
2875.000000	-36.335865
2890.625000	-37.733562
2906.250000	-37.895233
2921.875000	-37.174820
2937.500000	-35.038948
2953.125000	-31.474649
2968.750000	-28.867550
2984.375000	-29.885681
3000.000000	-33.500183
3015.625000	-36.322308
3031.250000	-38.025772
3046.875000	-38.170650
3062.500000	-37.424923
3078.125000	-35.459961
3093.750000	-31.865150
3109.375000	-29.054466
3125.000000	-30.073219
3140.625000	-33.411743
3156.250000	-36.110573
3171.875000	-37.817387
3187.500000	-38.251423
3203.125000	-37.504753
3218.750000	-35.556896
3234.375000	-32.131996
3250.000000	-29.532789
3265.625000	-30.008299
3281.250000	-33.032520
3296.875000	-35.784229
3312.500000	-37.163059
3328.125000	-37.704338
3343.750000	-36.925064
3359.375000	-34.980801
3375.000000	-31.902325
3390.625000	-29.374907
3406.250000	-29.445667
3421.875000	-32.189999
3437.500000	-35.175751
3453.125000	-36.479458
3468.750000	-36.976433
3484.375000	-36.307804
3500.000000	-34.216167
3515.625000	-31.231466
3531.250000	-28.666393
3546.875000	-28.819466
3562.500000	-31.168013
3578.125000	-33.673370
3593.750000	-35.106693
3609.375000	-35.274487
3625.000000	-34.707176
3640.625000	-33.266010
3656.250000	-30.416092
3671.875000	-27.776941
3687.500000	-27.311810
3703.125000	-29.451859
3718.750000	-32.120743
3734.375000	-33.712822
3750.000000	-34.374043
3765.625000	-33.777500
3781.250000	-32.256073
3796.875000	-29.702637
3812.500000	-27.320068
3828.125000	-26.740171
3843.750000	-28.113764
3859.375000	-30.321049
3875.000000	-31.796249
3890.625000	-32.472992
3906.250000	-32.349377
3921.875000	-30.906370
3937.500000	-29.001553
3953.125000	-27.386627
3968.750000	-26.431919
3984.375000	-27.158943
4000.000000	-28.856462
4015.625000	-30.372654
4031.250000	-31.444193
4046.875000	-31.820395
4062.500000	-31.405216
4078.125000	-30.165136
4093.750000	-27.982498
4109.375000	-26.143463
4125.000000	-26.433601
4140.625000	-28.409882
4156.250000	-30.598133
4171.875000	-32.178337
4187.500000	-32.928761
4203.125000	-32.456593
4218.750000	-31.168152
4234.375000	-28.773634
4250.000000	-26.336843
4265.625000	-26.014412
4281.250000	-28.426409
4296.875000	-31.266880
4312.500000	-33.318951
4328.125000	-34.381439
4343.750000	-34.125172
4359.375000	-33.010883
4375.000000	-30.183657
4390.625000	-26.565487
4406.250000	-26.023058
4421.875000	-28.751245
4437.500000	-32.388191
4453.125000	-34.745018
4468.750000	-35.669205
4484.375000	-35.796719
4500.000000	-34.252880
4515.625000	-31.081026
4531.250000	-27.128948
4546.875000	-26.302288
4562.500000	-29.528000
4578.125000	-33.596622
4593.750000	-35.984367
4609.375000	-36.817856
4625.000000	-36.735348
4640.625000	-35.272251
4656.250000	-31.939945
